-89.158879	-180.0
-89.158879	-60.0
-89.158879	60.0
-87.476636	-180.0
-87.476636	-144.0
-87.476636	-108.0
-87.476636	-72.0
-87.476636	-36.0
-87.476636	0.0
-87.476636	36.0
-87.476636	72.0
-87.476636	108.0
-87.476636	144.0
-85.794393	-180.0
-85.794393	-157.5
-85.794393	-135.0
-85.794393	-112.5
-85.794393	-90.0
-85.794393	-67.5
-85.794393	-45.0
-85.794393	-22.5
-85.794393	0.0
-85.794393	22.5
-85.794393	45.0
-85.794393	67.5
-85.794393	90.0
-85.794393	112.5
-85.794393	135.0
-85.794393	157.5
-84.11215	-180.0
-84.11215	-163.636364
-84.11215	-147.272727
-84.11215	-130.909091
-84.11215	-114.545455
-84.11215	-98.181818
-84.11215	-81.818182
-84.11215	-65.454545
-84.11215	-49.090909
-84.11215	-32.727273
-84.11215	-16.363636
-84.11215	-0.0
-84.11215	16.363636
-84.11215	32.727273
-84.11215	49.090909
-84.11215	65.454545
-84.11215	81.818182
-84.11215	98.181818
-84.11215	114.545455
-84.11215	130.909091
-84.11215	147.272727
-84.11215	163.636364
-82.429907	-180.0
-82.429907	-167.142857
-82.429907	-154.285714
-82.429907	-141.428571
-82.429907	-128.571429
-82.429907	-115.714286
-82.429907	-102.857143
-82.429907	-90.0
-82.429907	-77.142857
-82.429907	-64.285714
-82.429907	-51.428571
-82.429907	-38.571429
-82.429907	-25.714286
-82.429907	-12.857143
-82.429907	0.0
-82.429907	12.857143
-82.429907	25.714286
-82.429907	38.571429
-82.429907	51.428571
-82.429907	64.285714
-82.429907	77.142857
-82.429907	90.0
-82.429907	102.857143
-82.429907	115.714286
-82.429907	128.571429
-82.429907	141.428571
-82.429907	154.285714
-82.429907	167.142857
-80.747664	-180.0
-80.747664	-169.714286
-80.747664	-159.428571
-80.747664	-149.142857
-80.747664	-138.857143
-80.747664	-128.571429
-80.747664	-118.285714
-80.747664	-108.0
-80.747664	-97.714286
-80.747664	-87.428571
-80.747664	-77.142857
-80.747664	-66.857143
-80.747664	-56.571429
-80.747664	-46.285714
-80.747664	-36.0
-80.747664	-25.714286
-80.747664	-15.428571
-80.747664	-5.142857
-80.747664	5.142857
-80.747664	15.428571
-80.747664	25.714286
-80.747664	36.0
-80.747664	46.285714
-80.747664	56.571429
-80.747664	66.857143
-80.747664	77.142857
-80.747664	87.428571
-80.747664	97.714286
-80.747664	108.0
-80.747664	118.285714
-80.747664	128.571429
-80.747664	138.857143
-80.747664	149.142857
-80.747664	159.428571
-80.747664	169.714286
-79.065421	-180.0
-79.065421	-171.219512
-79.065421	-162.439024
-79.065421	-153.658537
-79.065421	-144.878049
-79.065421	-136.097561
-79.065421	-127.317073
-79.065421	-118.536585
-79.065421	-109.756098
-79.065421	-100.97561
-79.065421	-92.195122
-79.065421	-83.414634
-79.065421	-74.634146
-79.065421	-65.853659
-79.065421	-57.073171
-79.065421	-48.292683
-79.065421	-39.512195
-79.065421	-30.731707
-79.065421	-21.95122
-79.065421	-13.170732
-79.065421	-4.390244
-79.065421	4.390244
-79.065421	13.170732
-79.065421	21.95122
-79.065421	30.731707
-79.065421	39.512195
-79.065421	48.292683
-79.065421	57.073171
-79.065421	65.853659
-79.065421	74.634146
-79.065421	83.414634
-79.065421	92.195122
-79.065421	100.97561
-79.065421	109.756098
-79.065421	118.536585
-79.065421	127.317073
-79.065421	136.097561
-79.065421	144.878049
-79.065421	153.658537
-79.065421	162.439024
-79.065421	171.219512
-77.383178	-180.0
-77.383178	-172.340426
-77.383178	-164.680851
-77.383178	-157.021277
-77.383178	-149.361702
-77.383178	-141.702128
-77.383178	-134.042553
-77.383178	-126.382979
-77.383178	-118.723404
-77.383178	-111.06383
-77.383178	-103.404255
-77.383178	-95.744681
-77.383178	-88.085106
-77.383178	-80.425532
-77.383178	-72.765957
-77.383178	-65.106383
-77.383178	-57.446809
-77.383178	-49.787234
-77.383178	-42.12766
-77.383178	-34.468085
-77.383178	-26.808511
-77.383178	-19.148936
-77.383178	-11.489362
-77.383178	-3.829787
-77.383178	3.829787
-77.383178	11.489362
-77.383178	19.148936
-77.383178	26.808511
-77.383178	34.468085
-77.383178	42.12766
-77.383178	49.787234
-77.383178	57.446809
-77.383178	65.106383
-77.383178	72.765957
-77.383178	80.425532
-77.383178	88.085106
-77.383178	95.744681
-77.383178	103.404255
-77.383178	111.06383
